SN,Latitude,Longitude,Altitude,Heading,Speed
652,24.9222768,121.0558208,94,0,1.92
653,24.9222448,121.0558208,94,0,4.27
654,24.9222271,121.0558592,94,296.94,5.22
655,24.9222208,121.0558848,94,285.18,3.21
656,24.9222271,121.0558848,94,180,0.84
657,24.9221423,121.0558336,95,28.7,12.91
658,24.9219648,121.0557184,95,30.48,27.51
659,24.9217168,121.0555392,94,33.24,39.61
660,24.9214192,121.0553088,93,35.07,48.57
661,24.9211776,121.0551424,93,31.99,57.08
662,24.9209168,121.0549504,92,33.73,62.83
663,24.920632,121.0547328,91,34.72,69.43
664,24.9203184,121.0545152,91,32.18,74.24
665,24.919992,121.054272,90,34.05,78.93
666,24.919656,121.0540288,88,33.28,80.54
667,24.9193056,121.0537728,87,33.53,84.22
668,24.9189295,121.0535168,87,31.69,88.56
669,24.9185408,121.053248,86,32.09,91.94
670,24.918144,121.0529664,87,32.77,94.55
671,24.9177344,121.0526848,86,31.94,96.72
672,24.9173104,121.0524032,85,31.06,99.18
673,24.9170832,121.0522496,87,31.51,106.8
674,24.9166512,121.0519552,89,31.72,101.76
675,24.9162288,121.0516992,88,28.8,96.58
676,24.9157984,121.051456,86,27.13,96.91
677,24.9153632,121.0511872,85,29.26,99.95
678,24.9149264,121.0509312,84,27.99,99.12
679,24.9144912,121.0506752,85,28.08,98.84
680,24.9140512,121.0504192,84,27.82,99.69
681,24.9136175,121.050176,84,26.96,97.5
682,24.913184,121.04992,83,28.17,98.54
683,24.9127488,121.049664,83,28.08,98.84
684,24.9123184,121.049408,81,28.34,97.99
685,24.9118912,121.049152,80,28.52,97.43
686,24.9114496,121.048896,81,27.73,99.97
687,24.9110032,121.04864,82,27.48,100.82
688,24.9105696,121.0483968,82,26.96,97.48
689,24.9101296,121.0481408,82,27.82,99.69
690,24.9096944,121.0478848,82,28.08,98.84
691,24.9092624,121.0476288,82,28.26,98.27
692,24.9088416,121.04736,81,30.09,97.45
693,24.9084336,121.0471168,81,28.4,92.94
694,24.9080384,121.0468864,81,27.87,89.58
695,24.9076752,121.0466688,81,28.52,82.83
696,24.9073296,121.0464768,80,26.74,77.54
697,24.907008,121.0462848,80,28.43,73.28
698,24.9067056,121.0461056,79,28.26,68.79
699,24.9064224,121.0459392,79,28.05,64.3
700,24.9061424,121.0457728,79,28.33,63.74
701,24.9058704,121.0456064,79,29.02,62.33
702,24.9056112,121.0454528,79,28.26,58.96
703,24.90536,121.0453248,80,24.8,55.45
704,24.9051152,121.0451712,81,29.64,56.44
705,24.90488,121.0450176,80,30.64,54.78
706,24.9045327,121.0448512,81,23.49,50.58
707,24.9042016,121.044672,81,26.15,49.27
708,24.9038928,121.0444672,81,31.03,48.14
709,24.9035824,121.0442624,82,30.9,48.32
710,24.9033248,121.044096,81,30.37,39.88
711,24.9019616,121.043584,96,18.81,27.48
712,24.9019392,121.043584,103,0,4.49
713,24.9019504,121.0435712,101,133.97,1.62
714,24.9019568,121.0435968,101,254.59,0.15
715,24.9019568,121.0435968,101,0,0
716,24.9018416,121.0435072,101,35.2,18.83
717,24.9016336,121.0433536,101,33.81,33.44
718,24.9013584,121.0431744,101,30.57,42.7
719,24.9010224,121.0429312,101,33.29,53.69
720,24.9007536,121.042752,100,31.16,62.94
721,24.9004688,121.04256,100,31.45,66.89
722,24.9001584,121.0423552,100,30.9,72.48
723,24.8998304,121.0421248,100,32.5,77.93
724,24.8994816,121.0419072,100,29.5,80.3
725,24.8991216,121.0416768,100,30.14,83.41
726,24.8987408,121.0414336,99,30.08,88.18
727,24.898352,121.0411904,99,29.57,89.57
728,24.8979664,121.0409216,99,32.31,91.41
729,24.8975776,121.040576,98,38.88,100.07
730,24.8972096,121.0402176,98,41.46,98.39
731,24.896856,121.0398464,98,43.6,97.84
732,24.8965152,121.0394496,97,46.56,99.32
733,24.8961984,121.0390272,96,50.41,99.62
734,24.8959008,121.038592,95,52.99,99.06
735,24.8956336,121.0381312,94,57.41,99.4
736,24.8953744,121.0376576,94,58.89,100.53
737,24.8951504,121.0371584,94,63.68,101.23
738,24.8949551,121.0366464,92,67.19,100.95
739,24.8947696,121.0361344,91,68.23,100.21
740,24.8945792,121.0356352,90,67.19,98.43
741,24.8943856,121.0351232,89,67.37,100.82
742,24.894192,121.0346112,88,67.37,100.82
743,24.8939984,121.0340992,87,67.37,100.82
